courseID,courseName,designation,hours,hasPrereq,hasVarPrereq,prereqs,varPrereqs,description,isNCSU,isUNC
bch351,General Biochemistry,,4,TRUE,TRUE,"bio183, ch223",ch227,"This course is an introduction to the basic principles of biochemistry. It emphasizes biochemical structures, properties, and functions, including enzyme kinetics and major metabolic processes. It discusses amino acids and proteins, carbohydrates, lipids, and nucleic acids. The pathways discussed will include glycolysis, gluconeogenesis, and the Krebs cycle. It can serve as a prerequisite for BCH 452 with permission of the department. This course is designed for those students who are not majoring in Biochemistry and do not require a more comprehensive introduction to biochemistry. It is not intended for graduate students. Credit is not allowed for both BCH 351 and BCH 451.",TRUE,FALSE
bch451,Principles of Biochemistry,,4,TRUE,TRUE,"bio183, ch201, ch202, ch221, ch222, ch223, ch224","ch103, ch104, ch203, ch204, ch225, ch226, ch227, ch228","Introduction to and survey of the fundamental principles of biochemistry, emphasizing the chemistry of living organisms, chemical structures, and interactions of and between biomolecules.",TRUE,FALSE
bch454,Advanced Biochemistry Laboratory,,1,FALSE,FALSE,,,"Techniques in molecular biology and protein purification. Cloning and expression of a eukaryotic gene in bacteria followed by purification of the eukaryotic gene product. Microanalysis of DNA, RNA and protein.",TRUE,FALSE
bio181,"Introductory Biology: Ecology, Evolution, and Biodiversity",freshman,4,FALSE,FALSE,,,"Emphasis on interactions of organisms with their environments, evolutionary change and role of natural selection in the evolution of life forms, biological diversity in the context of form and function of organisms, and on critical thinking, problem solving, and effective communication. Cannot receive credit for both BIO 181 and (BIO 105 or BIO 106 or BIO 115 or BIO 116).",TRUE,FALSE
bio183,Introductory Biology: Cellular and Molecular Biology,freshman,4,TRUE,TRUE,bio181,ch101,"Basic concepts and principles of molecular, cellular, and developmental biology. Emphasis will be on the physical basis of life, the cell as the fundamental unit of life, the mechanisms involved in the development of multicellular organisms and on critical thinking, problem solving, experimental design, and effective communication. Cannot receive credit for both BIO 183 and (BIO 105 or BIO 106 or BIO 115 or BIO 116).",TRUE,FALSE
bit466,Animal Cell Culture Techniques,,2,TRUE,TRUE,bit410,"bch454, bit510","Introduction to animal cell culture techniques. Aseptic technique for vertebrate cell culture, media formulation, primary cell culture, long-term maintenance of cell lines, application of molecular techniques to in vitro situations. Half semester course, first part.",TRUE,FALSE
bit510,Core Technologies in Molecular and Cellular Biology,,4,TRUE,TRUE,"ch223, mb351",gn311,"Basic technologies of recombinant DNA procedures, gene expression, isolation and identification of nucleic acids and proteins.",TRUE,FALSE
bit566,Animal Cell Culture Techniques,,2,FALSE,FALSE,,,"Introduction to animal cell culture techniques. Aseptic technique for vertebrate cell culture, media formulation, primary cell culture, long-term maintenance of cell lines, application of molecular techniques to in vitro situations. Half semester course, first part.",TRUE,FALSE
bme201,Computer Methods in Biomedical Engineering,sophomore,3,FALSE,FALSE,,,"Students develop computer-based problem solving techniques using Excel and MATLAB to solve introductory problems in Biomedical Engineering. Emphasis is on developing solution algorithms, implementing these with spreadsheets and computer programming, and presenting results in a clear and concise manner. Students registered for BME 201 who fail to matriculate into BME will be dropped from the course.",TRUE,TRUE
bme204,Biomedical Measurements,,3,FALSE,FALSE,,,This course will introduce students to modern topics in biomedical engineering and areas of emphasis in the biomedical engineering curriculum through the study and use of biomedical measurement tools. The course will include a lecture and a laboratory component.,TRUE,FALSE
bme205,Introduction to Biomedical Mechanics,sophomore,4,FALSE,FALSE,,,"Study of the state of rest or motion of bodies subjected to the action of forces. Properties of force systems, free body diagrams, concepts of equilibrium, kinematics of particles, newton's laws, conservational principles of energy of momentum in mechanics, mechanical vibrations and their applications in biomedical systems. Restricted to student in the Biomedical Engineering Department.",TRUE,TRUE
bme207,Biomedical Electronics,sophomore,4,TRUE,FALSE,py208,,"Fundamentals of analog and digital circuit analysis and design as applied to biomedical instrumentation and measurement of biological potentials. Passive circuit components, node and mesh analysis, transient behavior, operational amplifiers, frequency response, analog filter design, diode, transistors, biological signal acquisition, binary math and logical operators, digital circuit design, circuit simulation tools and techniques. Laboratory exercises supplement the topics presented in class lectures.",TRUE,TRUE
bme209,Introduction to the Materials Science of Biomaterials,sophomore,4,TRUE,FALSE,py208,,"This course covers the chemistry, physics, and engineering theory underlying materials science and also discusses the diagnostic and analytical techniques necessary to assess these properties experimentally. This strong foundation prepares students to conceive and build better materials for a wide assortment of biomedical applications.",TRUE,TRUE
bme215,Biomedical Mechanics Laboratory,,1,TRUE,FALSE,mae208,,"This laboratory is part of BME 205 - Biomedical Mechanics and complements it with relevant labs and examples. Statics and dynamics subjects will be studied with experimental techniques, including strain gauges and accelerometers, and computational methods, including finite-element analysis and motion capture. Finally, the human arm will be studied to derive forces, moments, and kinematic properties during various exercises. BME student only.",TRUE,FALSE
bme217,Biomedical Electronics Laboratory,,1,TRUE,FALSE,ece331,,"Laboratory in analog and digital circuit analysis. Electrical safety; Exercises in resistor networks, capacitors and inductors, steady-state and dynamic circuit behavior, active circuits, amplifiers, logic gates, combinatorial and sequential circuits, elementary digital system design, A/D conversion, biomedical applications.",TRUE,FALSE
bme219,Materials Science of Biomaterials Lab,,1,TRUE,TRUE,mse200,"mse201, bme203","Introductory laboratory experience focused on integrating biological engineering and materials engineering principles by exploring key topics in materials science. Topics include biomaterial fabrication, evaluation of their physical properties and interpretation of results.",TRUE,FALSE
bme295,Research in Biomedical Engineering for Undergraduates,,,FALSE,FALSE,,,Opportunity for faculty mentored research in biomedical engineering. Approved plan of work required with significant independent research culminating in a final paper. Students must identify an advisor or co-advisor from within the BME faculty with whom to work on a regular basis. The advisor and BME Undergraduate Affairs Committee must approve the student project prior to the student registering for the course.,TRUE,FALSE
bme298,Biomedical Engineering Design and Manufacturing I,sophomore,1,TRUE,FALSE,py208,,"Students will learn the basic tools of design such as solid modeling by means of web-based tutorials and a series of small CAD project assignments. Students will learn to use current software for design, analysis, and computer-aided manufacturing (CAM). Students will also be introduced to modern manufacturing through the transition from CAD (Computer-Aided Design) to CAM using modern rapid manufacturing equipment to carry out one small, well-defined design and manufacturing project.",TRUE,FALSE
bme301,Human Physiology for Engineers I,junior,3,TRUE,TRUE,"bme201, bio183",zo160,"This course includes a quantitative approach to human physiology from the biomedical engineering perspective with an emphasis on neural, sensory, muscle, and cardiac physiology. Autonomic neural and somatic motor control will be discussed. Engineering applications, including neural stimulators, functional imaging, cochlear implants, artificial noses, vestibular implants, visual implants, artificial larynges, pacemakers and defibrillators will be discussed. Assignments include computer-based exercises using MATLAB.",TRUE,FALSE
bme302,Human Physiology: Mechanical Analysis,junior,4,TRUE,FALSE,bme301,,"This course explores a quantitative approach to human physiology from the biomedical engineering perspective with an emphasis on systems physiology described using mechanical properties. Topics include the physiological and mechanical behavior of the blood vessels, lungs, kidney muscles and larynx. In the course lab exercises, students investigate mechanical properties of fluids, electrolyte exchange in dialysis, spirometry and blood pressure measurement among other topics. The course culminates with the design of a novel laboratory experiment.",TRUE,FALSE
bme311,Linear Systems in Biomedical Engineering,junior,3,TRUE,FALSE,"bme201, ece331, ma341",,Fundamentals of linear systems analysis as applied to problems in biomedical modeling and instrumentation. Properties of biomedical systems and signals. Representation of continuous- and discrete-time signals and system response. Convolution. Fourier analysis in continuous and discrete domains. Laplace transform. Frequency response and its application in biomedical systems. Filter design. Circuit analogs to mechanical and thermodynamics systems and their applications in modeling biomedical systems. Applications in biomedical instrumentation. Students use MATLAB to simulate and analyze biomedical linear systems. BME majors only.,TRUE,TRUE
bme315,Biotransport,junior,3,TRUE,FALSE,"ma341, bme201",,"Quantification and modeling of heat and mass transfer in biomedical systems. Topics include heat transfer rate equations, conservation of energy, steady-state and transient heat transfer, Brownian motion, Fick's laws, conservation of mass equations, molecular transport through membranes, porous media, Stoke-Einstein relations, boundary layer theory, mass transfer coefficients and hemodialysis.",TRUE,TRUE
bme325,Biochemistry for Biomedical Engineers,junior,3,TRUE,TRUE,"ch221, bme209",bme203,"An overview of how alterations in bioenergetics, enzyme catalysis, protein and membrane structure, carbohydrate, lipid and nucleic acid metabolism affect human health and how biomedical engineering tools are used to detect and monitor the problems by understanding these biochemical processes. Topics include: Biological Thermodynamics, Energy of macromolecular structure and binding, Structure/function of proteins, enzymes and nucleic acids, Kinetics, enzyme catalysis and biochemical network analysis, Generation of chemical and electrical potential in membranes, Carbohydrate/lipid/protein metabolism and energy production, DNA synthesis, transcription, Technologies used to monitor/detect biochemical processes including clinical imaging modalities.",TRUE,TRUE
bme335,Biomaterials,junior,3,TRUE,TRUE,"bio183, bme209",bme203,"Fundamental sciences behind the design and selection of biomaterials, including crystallography, polymer science, characterization, mechanical testing, and surface preparation. Integration of biomaterials into the body and its response, including inflammation and rejection. Semester-long research project.",TRUE,TRUE
bme342,Analytical and Experimental Methods for Biomedical Engineers,,3,TRUE,TRUE,"bme201, mae208, mae214, ma341","ce215, ce225","Experimental and analytic tools are developed and used to solve problems in biomedical engineering. Techniques include kinematic analysis, closed form and finite element analysis of stresses and strains in a body, and failure analysis. Transducersnecessary for experimental analysis and testing are introduced. Students learn advanced software packages such as the finite element program ANSYS and the dynamic analysis program ADAMS to assist in their analyses.",TRUE,TRUE
bme345,Biomedical Solid Mechanics,junior,3,TRUE,TRUE,"bme201, bme205, bme209","mae208, bme203","This course covers topics ranging from multi-body systems to stress superposition to failure criteria to prepare students for the more advanced subjects of biomechanics and rehabilitation engineering. Topics include the following: Free-body diagrams, Multibody statics and dynamics, Linkage kinematics and kinetics, Anthropometric kinematics, Stress/strain/torsion, Beam bending, Stress superposition, Constitutive relationship, Strain gauges, Finite-element analysis, Failure analysis, Failure mechanisms.",TRUE,TRUE
bme355,Biocontrols,junior,3,TRUE,FALSE,"ma341, bme311",,"Quantitative analysis of dynamic and feedback control systems, including modeling of physiological systems and physiological control systems, system time and frequency responses, control characteristics, and stability analysis. Design techniques for feedback systems in biomedical applications.",TRUE,TRUE
bme362,Biomaterials Characterization,,3,TRUE,TRUE,"ch220, bme203","ch221, ch225","Introductory laboratory experience focused on integrating engineering and biological principles by exploring key topics in biomaterials. Topics include evaluation and interpretation of experimental results, modeling and testing of tissues and cells, and biomaterial/tissue, cell interactions. BME and MSE Majors only; Juniors and Seniors.",TRUE,FALSE
bme385,Bioinstrumentation,junior,3,TRUE,TRUE,"bme207, bme201","bmme207, bme219, bmme201","Fundamentals of biomedical instrument design and implementation. Sensing mechanisms, sensor microfabrication methods, sensor interfacing circuits, analog-to-digital conversion, biosignal capture and storage, embedded microprocessors, data compression methods, system integration and prototyping. Laboratory exercises using LabVIEW and MATLAB, supplement the topics presented in class lectures. Students build a sensor using cleanroom facilities in the BME department as part of a semester-long design project.",TRUE,TRUE
